# Fundamental-mode classical Cepheids in the Large and Small Magellanic Clouds.
# Source: Soszynski et al. 2015 (Acta Astronomica 65, 297), the OGLE-IV Collection of
#   Variable Stars, via VizieR J/AcA/65/297 tables lmccep/smccep for the periods and
#   mean magnitudes and lmcident/smcident for the positions. Downloaded 2026-08-17.
#
# 2315 LMC and 2637 SMC stars: every star the catalogue marks as pulsating in
#   the fundamental mode (Mode = F) with both a mean V and a mean I magnitude. First
#   overtone and multi-mode Cepheids are left out — they follow their own, offset
#   period-luminosity relation and would double the ridge.
#
# period_days is the catalogue period; epoch_max_hjd is its time of maximum light
#   (HJD - 2450000), carried so a light curve can be folded on the same convention.
# mean_v_mag and mean_i_mag are intensity-mean magnitudes, not averaged magnitudes,
#   and they are apparent: no extinction correction has been applied here. The
#   Wesenheit index I - 1.55 (V - I), which is what makes the relation tight, is
#   derived in the scene rather than stored, so the correction stays visible.
# i_amplitude_mag is the peak-to-peak I-band amplitude.
cloud,star,period_days,epoch_max_hjd,mean_v_mag,mean_i_mag,i_amplitude_mag,ra_deg,dec_deg
LMC,OGLE-LMC-CEP-0211,2.0977485,6000.23207,16.431,15.792,0.653,72.983833,-69.343556
LMC,OGLE-LMC-CEP-0212,12.3265060,6008.95940,14.854,13.914,0.548,72.999708,-68.890833
LMC,OGLE-LMC-CEP-0213,1.6504667,6001.41458,16.873,16.297,0.710,73.003250,-67.663611
LMC,OGLE-LMC-CEP-0214,2.4240208,6001.02330,16.578,15.850,0.191,73.016792,-68.421750
LMC,OGLE-LMC-CEP-0215,2.5452257,6001.24950,16.817,15.987,0.340,73.023167,-69.255583
LMC,OGLE-LMC-CEP-0216,3.3986626,6001.88374,16.080,15.351,0.592,73.023250,-69.390806
LMC,OGLE-LMC-CEP-0217,3.0408565,6000.63898,16.494,15.708,0.627,73.025625,-69.769222
LMC,OGLE-LMC-CEP-0222,2.6968757,6000.40186,16.335,15.623,0.528,73.055583,-68.856583
LMC,OGLE-LMC-CEP-0223,8.2392025,6004.65218,15.150,14.292,0.425,73.055583,-69.867222
LMC,OGLE-LMC-CEP-0224,3.7796319,6001.70216,15.492,14.455,0.214,73.058042,-69.011722
LMC,OGLE-LMC-CEP-0225,4.4325622,6003.69037,15.572,14.844,0.584,73.060958,-66.592306
LMC,OGLE-LMC-CEP-0226,2.6092305,6002.32096,16.313,15.597,0.603,73.063958,-68.829139
LMC,OGLE-LMC-CEP-0227,3.7970782,6001.24962,15.291,14.408,0.300,73.065375,-70.242028
LMC,OGLE-LMC-CEP-0229,4.5634595,6003.17640,16.044,15.201,0.634,73.081000,-69.383722
LMC,OGLE-LMC-CEP-0230,3.6908117,6001.71612,15.926,15.184,0.584,73.082750,-69.091417
LMC,OGLE-LMC-CEP-0235,4.7622517,6001.92019,15.983,15.143,0.224,73.111042,-69.169694
LMC,OGLE-LMC-CEP-0236,3.2965051,6001.06922,16.526,15.640,0.315,73.114042,-69.515222
LMC,OGLE-LMC-CEP-0237,3.2226656,6003.10920,16.026,15.330,0.457,73.115750,-66.769333
LMC,OGLE-LMC-CEP-0238,2.5057914,6002.22838,16.524,15.863,0.478,73.119250,-68.960944
LMC,OGLE-LMC-CEP-0239,4.7507992,6001.73162,15.678,14.953,0.539,73.133250,-69.739000
LMC,OGLE-LMC-CEP-0246,4.3331413,6000.30228,15.323,14.720,0.649,73.192833,-67.634278
LMC,OGLE-LMC-CEP-0249,20.0861576,6015.92029,13.950,13.099,0.538,73.198708,-68.348722
LMC,OGLE-LMC-CEP-0250,6.1802501,6003.56662,15.188,14.432,0.411,73.200417,-68.646111
LMC,OGLE-LMC-CEP-0253,2.0829793,6001.85427,16.584,15.867,0.524,73.209083,-69.072167
LMC,OGLE-LMC-CEP-0254,2.7873584,6000.65581,16.351,15.669,0.511,73.209875,-68.510028
LMC,OGLE-LMC-CEP-0255,3.2516293,6001.30403,15.930,15.284,0.606,73.215708,-66.968194
LMC,OGLE-LMC-CEP-0257,6.2296897,6000.32874,15.392,14.705,0.363,73.220292,-68.023722
LMC,OGLE-LMC-CEP-0258,5.0254976,6002.06709,15.520,14.745,0.312,73.225833,-69.276417
LMC,OGLE-LMC-CEP-0262,2.8503690,6002.27026,16.231,15.521,0.411,73.239792,-67.417389
LMC,OGLE-LMC-CEP-0264,3.8193141,6003.44494,15.938,15.142,0.498,73.252167,-68.897028
