# ATNF Pulsar Catalogue periods and characteristic ages.
# Source: Manchester, Hobbs, Teoh & Hobbs 2005, AJ 129, 1993,
#   VizieR B/psr (CDS catalogue B/psr).
#   https://cdsarc.cds.unistra.fr/viz-bin/cat/B/psr
# Downloaded 2026-08-17 via VizieR Harvard.
#
# One row per pulsar that has both a barycentric period P0 and a
#   characteristic age Age = P/(2Pdot). Pulsars without a measured
#   spin-down are omitted. VizieR B/psr does not publish Pdot as a
#   column; the film recovers it as P / (2 tau).
# Age is in years as tabulated. Edot is the catalogue spin-down
#   luminosity in erg/s. dm_pc_cm3 and distance_kpc are blank when
#   the catalogue has no value.
# This is the 2005 VizieR snapshot, not a live ATNF query.
jname,period_s,dm_pc_cm3,distance_kpc,age_yr,edot_erg_s
J0720-3125,8.39111553200000,,0.40,1900000.0,4.700e+30
J0721-2038,0.01554239497400,76.100000,3.87,5600000000.0,4.600e+32
J0725-1635,0.42431140318340,98.980000,4.68,72600000.0,4.800e+31
J0726-2612,3.44230848770000,69.400000,3.01,186000.0,2.800e+32
J0729-1448,0.25165871418100,92.300000,4.37,35200.0,2.800e+35
J0729-1836,0.51016034483000,61.293000,3.25,426000.0,5.600e+33
J0733-2345,1.79624970117000,194.000000,11.95,4990000.0,3.900e+31
J0734-1559,0.15625000000000,,,203000.0,1.300e+35
J0737-2202,0.32036637045400,95.700000,4.30,928000.0,6.600e+33
J0737-3039A,0.02269937859962,48.920000,1.10,204000000.0,5.900e+33
J0737-3039B,2.77346077007000,48.920000,1.10,49200000.0,1.700e+30
J0738-4042,0.37491998503200,160.800000,1.60,3680000.0,1.200e+33
J0742-2822,0.16676229157200,73.782000,2.00,157000.0,1.400e+35
J0745-5353,0.21483635140000,122.300000,7.14,1250000.0,1.100e+34
J0746-4529,2.79102517845000,134.570000,5.71,2650000.0,3.000e+31
J0749-4247,1.09545215761000,104.595000,2.36,17800000.0,2.900e+31
J0751+1807,0.00347877078319,30.248900,0.40,7080000000.0,7.300e+33
J0754+3231,1.44234947914300,39.949000,3.92,21200000.0,1.400e+31
J0758-1528,0.68226517580600,63.327000,3.72,6680000.0,2.000e+32
J0804-3647,2.19198689593000,196.000000,7.79,8250000.0,1.600e+31
J0806-4123,11.37038593000000,,,3240000.0,1.500e+30
J0807-5421,0.52664353143000,165.030000,8.76,22100000.0,1.000e+32
J0808-3937,0.86634928471000,165.000000,5.62,34200000.0,2.400e+31
J0809-4753,0.54719923550200,228.300000,12.71,2810000.0,7.400e+32
J0812-3905,0.48259592915900,327.000000,26.83,170000000.0,1.600e+31
J0814+7429,1.29224144686200,5.733000,0.43,122000000.0,3.100e+30
J0815+0939,0.64516119106000,52.667000,4.52,73500000.0,2.000e+31
J0818-3049,0.76374184830000,133.700000,4.17,20900000.0,5.100e+31
J0818-3232,2.16125892693900,131.800000,3.82,45500000.0,2.900e+30
J0820-1350,1.23812954386820,40.938000,1.90,9320000.0,4.400e+31
J0820-3826,0.12483638041930,195.560000,6.82,810000.0,5.000e+34
J0820-3921,1.07356658405000,179.400000,6.19,1400000.0,3.900e+32
J0820-4114,0.54544553611000,113.400000,2.38,457000000.0,4.600e+30
J0821-4221,0.39672823537710,270.600000,18.16,1810000.0,2.200e+33
J0821-4300,0.11279945507200,,2.20,193000000.0,2.600e+32
J0823+0159,0.86487280469880,23.727000,1.44,131000000.0,6.400e+30
J0826+2637,0.53066051169000,19.478900,0.32,4920000.0,4.500e+32
J0828-3417,1.84891880365000,52.200000,0.54,29400000.0,6.200e+30
J0831-4406,0.31167351847300,254.000000,12.73,3860000.0,1.700e+33
J0834-4159,0.12111634935400,240.500000,9.74,432000.0,9.900e+34
J0835-3707,0.54140437362700,112.300000,2.34,877000.0,2.400e+33
J0835-4510,0.08932838502400,67.990000,0.28,11300.0,6.900e+36
J0837+0610,1.27376829157850,12.864000,0.76,2970000.0,1.300e+32
J0837-4135,0.75162361764600,147.290000,1.50,3360000.0,3.300e+32
J0838-2621,0.30858066214430,116.900000,4.56,125000000.0,5.200e+31
J0838-3947,1.70394570550000,219.000000,8.21,33200000.0,6.500e+30
J0840-5332,0.72061236106000,156.500000,7.77,6940000.0,1.700e+32
J0842-4851,0.64435405580000,196.850000,8.68,1070000.0,1.400e+33
J0843-5022,0.20895569315270,178.470000,7.69,19200000.0,7.500e+32
J0846-3533,1.11609716340200,94.160000,1.43,11000000.0,4.500e+31
J0847-4316,5.97749273700000,292.500000,13.44,790000.0,2.200e+31
J0849+8028,1.60222797387000,34.660000,3.38,56900000.0,4.300e+30
