# Single-mode RR Lyrae stars in the Large and Small Magellanic Clouds.
# Source: Soszynski et al. 2016 (Acta Astronomica 66, 131), the OGLE-IV Collection of
#   Variable Stars, via VizieR J/AcA/66/131 tables lmcrrabc/smcrrabc. Downloaded 2026-08-17.
#
# RRab (fundamental mode) and RRc (first overtone) only. Double-mode RRd and
#   anomalous aRRd stars are left out — they pulsate in two periods at once and
#   would smear both the Bailey diagram and the period–luminosity ridge.
# Every star has an intensity-mean V and I magnitude and an I-band amplitude.
#   Mean magnitudes are apparent: no extinction correction has been applied.
#   The Wesenheit index I - 1.55 (V - I) is derived in the scene, not stored.
#
# period_days is the catalogue period; epoch_max_hjd is its time of maximum
#   light (HJD - 2450000). i_amplitude_mag is peak-to-peak I-band amplitude.
# One row per star.
cloud,star,type,period_days,epoch_max_hjd,mean_v_mag,mean_i_mag,i_amplitude_mag
LMC,OGLE-LMC-RRLYR-00151,RRab,0.4121528,6000.39072,19.620,19.154,0.296
LMC,OGLE-LMC-RRLYR-00152,RRab,0.6183489,6000.15718,19.422,18.805,0.611
LMC,OGLE-LMC-RRLYR-00153,RRab,0.5264919,6000.12130,19.512,18.961,0.695
LMC,OGLE-LMC-RRLYR-00154,RRab,0.6388653,6000.43820,19.133,18.570,0.696
LMC,OGLE-LMC-RRLYR-00155,RRab,0.5419487,6000.06831,19.398,18.801,0.471
LMC,OGLE-LMC-RRLYR-00156,RRab,0.5826317,6000.01917,19.399,18.826,0.545
LMC,OGLE-LMC-RRLYR-00157,RRab,0.5847236,6000.17524,19.569,18.958,0.582
LMC,OGLE-LMC-RRLYR-00158,RRab,0.5888954,6000.32399,19.330,18.718,0.732
LMC,OGLE-LMC-RRLYR-00159,RRab,0.6503241,6000.51320,19.481,18.843,0.359
LMC,OGLE-LMC-RRLYR-00160,RRc,0.3436597,6000.24451,19.525,19.033,0.202
LMC,OGLE-LMC-RRLYR-00161,RRab,0.5668616,6000.30403,19.077,18.596,0.645
LMC,OGLE-LMC-RRLYR-00162,RRab,0.5799315,6000.25541,19.431,18.863,0.525
LMC,OGLE-LMC-RRLYR-00163,RRab,0.5548246,6000.46737,19.491,18.925,0.635
LMC,OGLE-LMC-RRLYR-00164,RRc,0.2955114,6000.12845,19.241,18.859,0.135
LMC,OGLE-LMC-RRLYR-00165,RRab,0.5483532,6000.11399,19.613,18.939,0.524
LMC,OGLE-LMC-RRLYR-00166,RRc,0.3362328,6000.00876,19.209,18.756,0.316
LMC,OGLE-LMC-RRLYR-00167,RRab,0.5820119,6000.38885,19.215,18.683,0.531
LMC,OGLE-LMC-RRLYR-00168,RRab,0.4607223,6000.39729,19.554,19.064,0.782
LMC,OGLE-LMC-RRLYR-00169,RRab,0.5094502,6000.26403,19.432,18.897,0.757
LMC,OGLE-LMC-RRLYR-00170,RRab,0.5085793,6000.38244,19.391,18.891,0.693
LMC,OGLE-LMC-RRLYR-00171,RRab,0.5623337,6000.20498,19.404,18.833,0.711
LMC,OGLE-LMC-RRLYR-00172,RRc,0.2807193,6000.19627,19.606,19.211,0.208
LMC,OGLE-LMC-RRLYR-00173,RRc,0.3587149,6000.19017,19.242,18.812,0.273
LMC,OGLE-LMC-RRLYR-00174,RRab,0.5568345,6000.33150,19.351,18.772,0.589
LMC,OGLE-LMC-RRLYR-00175,RRab,0.5744352,6000.43256,19.448,18.836,0.577
LMC,OGLE-LMC-RRLYR-00176,RRab,0.7076411,6000.32564,19.423,18.747,0.398
LMC,OGLE-LMC-RRLYR-00177,RRab,0.8246817,6000.39945,18.830,18.191,0.258
LMC,OGLE-LMC-RRLYR-00178,RRab,0.6148598,6000.28840,19.486,18.863,0.383
LMC,OGLE-LMC-RRLYR-00179,RRab,0.4996545,6000.11764,19.423,18.876,0.830
LMC,OGLE-LMC-RRLYR-00180,RRab,0.5244030,6000.51403,19.556,18.923,0.706
LMC,OGLE-LMC-RRLYR-00181,RRc,0.2996490,6000.04926,19.719,19.181,0.254
LMC,OGLE-LMC-RRLYR-00182,RRab,0.5767936,6000.28929,19.506,18.920,0.463
LMC,OGLE-LMC-RRLYR-00185,RRab,0.6115359,6000.58072,19.637,18.959,0.439
LMC,OGLE-LMC-RRLYR-00186,RRab,0.6275318,6000.36821,19.680,18.961,0.376
LMC,OGLE-LMC-RRLYR-00187,RRab,0.5727269,6000.38336,19.320,18.793,0.720
LMC,OGLE-LMC-RRLYR-00189,RRab,0.6899165,6000.55358,19.201,18.597,0.261
LMC,OGLE-LMC-RRLYR-00190,RRc,0.3544150,6000.30402,19.462,18.953,0.282
LMC,OGLE-LMC-RRLYR-00191,RRab,0.6135156,6000.45745,19.277,18.665,0.488
LMC,OGLE-LMC-RRLYR-00192,RRab,0.5011677,6000.27750,19.522,18.954,0.783
LMC,OGLE-LMC-RRLYR-00193,RRab,0.4918241,6000.18063,19.740,19.177,0.401
LMC,OGLE-LMC-RRLYR-00194,RRab,0.5392208,6000.40343,19.259,18.707,0.727
LMC,OGLE-LMC-RRLYR-00195,RRab,0.5835356,6000.50773,19.174,18.676,0.689
LMC,OGLE-LMC-RRLYR-00196,RRc,0.3540794,6000.27424,19.535,18.969,0.259
LMC,OGLE-LMC-RRLYR-00198,RRab,0.5408388,6000.17065,19.380,18.852,0.506
LMC,OGLE-LMC-RRLYR-00199,RRab,0.5341337,6000.40156,19.387,18.794,0.562
LMC,OGLE-LMC-RRLYR-00200,RRc,0.2891899,6000.28163,19.282,18.889,0.322
LMC,OGLE-LMC-RRLYR-00201,RRc,0.2956602,6000.08026,19.373,18.984,0.320
LMC,OGLE-LMC-RRLYR-00202,RRc,0.3094154,6000.18067,19.583,19.180,0.276
LMC,OGLE-LMC-RRLYR-00206,RRab,0.6688596,6000.50578,19.343,18.694,0.364
LMC,OGLE-LMC-RRLYR-00208,RRab,0.5899031,6000.25221,19.418,18.839,0.719
LMC,OGLE-LMC-RRLYR-00209,RRab,0.5515500,6000.28083,19.440,18.879,0.664
LMC,OGLE-LMC-RRLYR-00210,RRab,0.5411139,6000.11657,19.465,18.896,0.667
LMC,OGLE-LMC-RRLYR-00211,RRab,0.6103137,6000.40370,19.617,18.980,0.374
LMC,OGLE-LMC-RRLYR-00212,RRab,0.6103079,6000.04333,19.530,18.855,0.540
LMC,OGLE-LMC-RRLYR-00213,RRc,0.3047677,6000.19901,19.482,19.035,0.173
LMC,OGLE-LMC-RRLYR-00214,RRab,0.5392698,6000.28065,19.258,18.727,0.666
LMC,OGLE-LMC-RRLYR-00215,RRab,0.5814358,6000.00085,19.224,18.679,0.738
LMC,OGLE-LMC-RRLYR-00216,RRab,0.6348608,6000.55986,19.434,18.763,0.327
LMC,OGLE-LMC-RRLYR-00218,RRc,0.2693806,6000.09558,19.402,19.058,0.204
LMC,OGLE-LMC-RRLYR-00219,RRab,0.7139044,6000.26948,19.243,18.593,0.340
LMC,OGLE-LMC-RRLYR-00220,RRab,0.5897793,6000.23395,19.389,18.869,0.509
LMC,OGLE-LMC-RRLYR-00221,RRab,0.5632101,6000.07104,19.486,18.948,0.688
