# TESS Sector 70 light curve for TRAPPIST-1 (TIC 278892590, T = 13.85).
# Source: MAST / TESS SPOC 2-minute PDCSAP via lightkurve search_lightcurve(
#   'TRAPPIST-1', mission='TESS', exptime=120).
# relative_flux = PDCSAP / median. detrended_flux = lightkurve flatten(
#   window_length=241 cadences ~ 8 h, polyorder=2, niters=3, sigma=3) / median;
#   the 8 h window is far longer than the 36 min transit, so transits survive.
# Flares and the mid-sector downlink gap are left in — both are real.
# Point-to-point scatter is 1.37%, so a single 0.95% transit is
#   invisible; folding on the period is what reveals it.
# TRAPPIST-1 b ephemeris measured from THIS light curve by box-least-squares
#   (astropy BoxLeastSquares, no catalog input): period 1.510919 d,
#   mid-transit 3209.809538 BTJD, duration 30.0 min, 13 transits observed.
#   Published period for comparison: 1.510826 d.
# Columns: btjd_day = BJD_TDB - 2457000; fluxes are dimensionless.
btjd_day,relative_flux,detrended_flux
3209.843551,0.998101,0.998926
3209.844940,1.010242,1.011233
3209.846329,1.015412,1.016382
3209.847717,1.004733,1.005789
3209.849106,1.019373,1.020445
3209.850495,1.027234,1.028328
3209.851884,1.017006,1.018249
3209.853273,1.011218,1.012255
3209.854662,1.001558,1.002502
3209.856051,0.989530,0.990423
3209.857439,0.989270,0.989845
3209.858828,0.993021,0.993641
3209.860217,0.984120,0.984763
3209.861606,1.004622,1.005251
3209.862995,0.992869,0.993371
3209.864384,0.998773,0.999281
3209.865773,0.993187,0.993462
3209.867161,1.015116,1.015516
3209.868550,1.003432,1.003788
3209.869939,0.997207,0.997439
3209.871328,0.988490,0.988574
3209.872717,0.989431,0.989439
3209.874106,1.002390,1.002492
3209.875495,1.014638,1.014717
3209.876883,0.988756,0.988658
3209.878272,0.992735,0.992518
3209.879661,0.979940,0.979625
3209.881050,0.975998,0.975717
3209.882439,1.005704,1.005335
3209.883828,0.997226,0.996922
3209.885217,1.009323,1.008955
3209.886605,0.991373,0.990974
3209.887994,1.009691,1.009261
3209.889383,0.992290,0.991867
3209.890772,0.991103,0.990604
3209.892161,1.004595,1.004041
3209.893550,1.015380,1.014799
3209.894939,0.986039,0.985401
3209.896327,1.023350,1.022722
3209.897716,1.013208,1.012532
3209.899105,0.948492,0.947846
3209.900494,0.986499,0.985814
3209.901883,0.996775,0.996044
3209.903272,0.979939,0.979163
3209.904661,0.984745,0.983871
3209.906049,0.999431,0.998413
3209.907438,1.004383,1.003452
3209.908827,0.974004,0.973071
3209.910216,1.012779,1.011942
3209.911605,1.017839,1.016977
3209.912994,1.019549,1.018415
3209.914383,1.034766,1.033447
3209.915771,0.996902,0.995659
3209.917160,1.011569,1.010304
3209.918549,1.026817,1.025438
3209.919938,1.018755,1.017376
3209.921327,1.009986,1.008760
3209.922716,0.991551,0.990439
3209.924105,0.997533,0.996542
3209.925494,1.035571,1.034571
3209.926882,0.976502,0.975658
3209.928271,1.035221,1.034144
3209.929660,0.976332,0.975223
3209.931049,0.990974,0.989969
3209.932438,0.989879,0.988998
3209.933827,0.999991,0.999034
3209.935216,0.998876,0.997829
3209.936604,1.006934,1.005892
3209.937993,1.026951,1.025850
3209.939382,0.983053,0.982098
3209.940771,1.005710,1.004618
3209.942160,1.001952,1.000819
3209.943549,0.998535,0.997310
3209.944938,0.991418,0.990173
3209.946326,0.993549,0.992517
3209.947715,0.985242,0.984477
3209.949104,0.999312,0.998434
3209.950493,1.002134,1.001236
3209.951882,0.954804,0.953951
3209.953271,0.994111,0.993226
3209.954660,1.000317,0.999498
3209.956048,0.994266,0.993291
3209.957437,0.990818,0.989763
3209.958826,0.988000,0.986896
3209.960215,0.999323,0.998160
3209.961604,1.022386,1.021395
3209.962993,0.984733,0.983727
3209.964382,1.009219,1.008051
3209.965770,0.982672,0.981448
3209.967159,1.003806,1.002564
3209.968548,1.002974,1.001938
3209.969937,1.015402,1.014516
3209.971326,0.970574,0.969759
3209.972715,1.012455,1.011842
3209.974104,0.983727,0.983214
3209.975492,1.009582,1.009066
3209.976881,1.009628,1.009423
3209.978270,0.986909,0.986807
3209.979659,1.015950,1.016118
3209.981048,0.999317,0.999734
3209.982437,1.008893,1.009237
3209.983826,0.976006,0.976447
3209.985214,1.024259,1.024911
3209.986603,0.997910,0.998621
3209.987992,1.009531,1.010365
3209.989381,0.992148,0.993248
3209.990770,1.003785,1.005054
3209.992159,1.011889,1.013089
3209.993548,1.009442,1.010649
3209.994936,0.951607,0.952813
3209.996325,0.981267,0.982581
3209.997714,1.015251,1.016659
3209.999103,1.009422,1.010893
3210.000492,0.992711,0.994086
3210.001881,0.991549,0.992860
3210.003270,0.998272,0.999818
3210.004658,1.005953,1.007558
3210.006047,0.985336,0.987094
3210.007436,1.002711,1.004529
3210.008825,0.982918,0.984678
3210.010214,0.985042,0.986566
3210.011603,1.002778,1.004289
3210.012992,0.994298,0.995874
3210.014380,0.986766,0.988410
3210.015769,1.008589,1.010290
3210.017158,0.994400,0.995934
3210.018547,1.023068,1.024634
3210.019936,0.995162,0.996650
3210.021325,0.999963,1.001419
3210.022714,1.018516,1.019815
3210.024102,0.991606,0.992752
3210.025491,0.996041,0.997256
3210.026880,1.007574,1.008658
3210.028269,0.980047,0.981142
3210.029658,1.027489,1.028585
3210.031047,1.006585,1.007632
3210.032436,1.004348,1.005453
3210.033824,0.987367,0.988284
3210.035213,1.018494,1.019486
3210.036602,0.976680,0.977448
3210.037991,1.008737,1.009670
3210.039380,0.977655,0.978393
3210.040769,1.005016,1.005691
3210.042158,0.982397,0.983105
3210.043546,0.997761,0.998601
3210.044935,1.020288,1.021157
3210.046324,0.985699,0.986624
3210.047713,0.993400,0.994228
3210.049102,0.990826,0.991583
3210.050491,0.997947,0.998781
3210.051880,0.995020,0.996108
3210.053268,1.002489,1.003727
3210.054657,1.007343,1.008571
3210.056046,0.987186,0.988413
3210.057435,0.996862,0.998107
3210.058824,0.989754,0.991044
3210.060213,0.991789,0.992887
3210.061602,0.996496,0.997665
3210.062990,0.992267,0.993369
3210.064379,1.001510,1.002681
3210.065768,0.986702,0.988013
3210.067157,1.019555,1.021092
3210.068546,1.003541,1.005083
3210.069935,1.005260,1.006672
3210.071324,0.988835,0.990293
3210.072712,0.989434,0.990789
3210.074101,0.993046,0.994499
3210.075490,0.990251,0.991855
3210.076879,0.993781,0.995599
3210.078268,0.984603,0.986497
3210.079657,1.005766,1.007886
3210.081046,0.982571,0.984633
3210.082434,0.981569,0.983547
3210.083823,0.984389,0.986384
3210.085212,1.004123,1.005921
3210.086601,0.998229,1.000065
3210.087990,0.989471,0.991268
3210.089379,1.010225,1.011893
3210.090768,1.011304,1.012794
3210.092156,1.010818,1.012143
3210.093545,1.006425,1.008015
3210.094934,1.005719,1.007353
3210.096323,1.003398,1.004808
3210.097712,0.997899,0.999496
3210.099101,0.998502,0.999958
3210.100490,1.000140,1.001771
3210.101878,1.019765,1.021418
3210.103267,0.970702,0.972276
3210.104656,0.974933,0.976539
3210.106045,1.005019,1.006627
3210.107434,0.990480,0.992117
3210.108823,1.003099,1.004596
3210.110212,0.982769,0.984313
3210.111600,1.001235,1.002773
3210.112989,0.976863,0.978479
3210.114378,1.001021,1.002687
3210.115767,1.005433,1.007326
3210.117156,1.016089,1.018215
3210.118545,0.978813,0.980966
3210.119934,0.991572,0.993916
3210.121322,0.980833,0.983247
3210.122711,1.009491,1.012032
3210.124100,0.982875,0.985403
3210.125489,0.992360,0.995006
3210.126878,1.002797,1.005620
3210.128267,0.991247,0.994352
3210.129656,1.002253,1.005268
3210.131044,0.998102,1.001117
3210.132433,0.973604,0.976735
3210.133822,1.009154,1.012311
3210.135211,1.005383,1.008664
3210.136600,1.018490,1.021900
3210.137989,1.018591,1.021855
3210.139378,0.998092,1.001236
3210.140766,1.017524,1.020979
3210.142155,0.997694,1.000970
3210.143544,0.991391,0.994804
3210.144933,1.027447,1.030815
3210.146322,0.996961,1.000049
3210.147711,1.000154,1.003289
3210.149100,1.007212,1.010292
3210.150488,0.981470,0.984519
3210.151877,1.004439,1.007458
3210.153266,1.013736,1.016919
3210.154655,0.996232,0.999278
3210.156044,0.996092,0.999107
3210.157433,1.022045,1.025113
3210.158822,1.007294,1.010465
3210.160210,0.998269,1.001368
3210.161599,0.985196,0.988114
3210.162988,0.993308,0.996088
3210.164377,0.998176,1.001069
3210.165766,1.011557,1.014313
3210.167155,0.994716,0.997444
3210.168544,1.001486,1.004279
