# OGLE-IV I-band photometry for three LMC RR Lyrae stars spanning Bailey type.
# Source: Soszynski et al. 2016 (Acta Astronomica 66, 131), OGLE-IV Collection of
#   Variable Stars, https://www.astrouw.edu.pl/ogle/ogle4/OCVS/lmc/rrlyr/phot/I/
# Downloaded 2026-08-17.
#
# OGLE-LMC-RRLYR-03686 (RRc, 0.284 d), OGLE-LMC-RRLYR-16323 (RRab, 0.489 d)
#   and OGLE-LMC-RRLYR-12984 (RRab, 0.650 d). Same galaxy, three clocks:
#   an overtone sine, a high-amplitude sawtooth, and a longer, smaller bump.
#
# time_hjd is HJD - 2450000 as stored by OGLE; i_mag is the I-band magnitude
#   and i_mag_error is the catalogue uncertainty. Folding uses the period only.
star,time_hjd,i_mag,i_mag_error
OGLE-LMC-RRLYR-03686,5588.73179,18.449,0.026
OGLE-LMC-RRLYR-03686,5589.63783,18.514,0.020
OGLE-LMC-RRLYR-03686,5591.67516,18.608,0.020
OGLE-LMC-RRLYR-03686,5592.65741,18.444,0.018
OGLE-LMC-RRLYR-03686,5593.64037,18.619,0.023
OGLE-LMC-RRLYR-03686,5594.65657,18.435,0.021
OGLE-LMC-RRLYR-03686,5595.63524,18.593,0.024
OGLE-LMC-RRLYR-03686,5596.69838,18.474,0.019
OGLE-LMC-RRLYR-03686,5597.61583,18.646,0.029
OGLE-LMC-RRLYR-03686,5598.67997,18.494,0.019
OGLE-LMC-RRLYR-03686,5599.64575,18.708,0.031
OGLE-LMC-RRLYR-03686,5600.67850,18.457,0.020
OGLE-LMC-RRLYR-03686,5601.65813,18.707,0.020
OGLE-LMC-RRLYR-03686,5602.65684,18.496,0.019
OGLE-LMC-RRLYR-03686,5603.66559,18.658,0.029
OGLE-LMC-RRLYR-03686,5604.66274,18.498,0.027
OGLE-LMC-RRLYR-03686,5605.66783,18.624,0.020
OGLE-LMC-RRLYR-03686,5606.67918,18.564,0.025
OGLE-LMC-RRLYR-03686,5607.69060,18.516,0.031
OGLE-LMC-RRLYR-03686,5608.67747,18.648,0.040
OGLE-LMC-RRLYR-03686,5609.70919,18.405,0.030
OGLE-LMC-RRLYR-03686,5611.63975,18.575,0.037
OGLE-LMC-RRLYR-03686,5612.69227,18.528,0.036
OGLE-LMC-RRLYR-03686,5613.65474,18.540,0.030
OGLE-LMC-RRLYR-03686,5614.64739,18.554,0.027
OGLE-LMC-RRLYR-03686,5615.64118,18.485,0.024
OGLE-LMC-RRLYR-03686,5616.64993,18.624,0.027
OGLE-LMC-RRLYR-03686,5619.64041,18.478,0.019
OGLE-LMC-RRLYR-03686,5620.62640,18.644,0.034
OGLE-LMC-RRLYR-03686,5622.63507,18.685,0.031
OGLE-LMC-RRLYR-03686,5623.59795,18.502,0.025
OGLE-LMC-RRLYR-03686,5624.53905,18.550,0.029
OGLE-LMC-RRLYR-03686,5625.63070,18.441,0.023
OGLE-LMC-RRLYR-03686,5626.59180,18.581,0.029
OGLE-LMC-RRLYR-03686,5627.55650,18.558,0.021
OGLE-LMC-RRLYR-03686,5629.59675,18.408,0.019
OGLE-LMC-RRLYR-03686,5630.60817,18.698,0.034
OGLE-LMC-RRLYR-03686,5632.55628,18.572,0.031
OGLE-LMC-RRLYR-03686,5633.60527,18.444,0.023
OGLE-LMC-RRLYR-03686,5634.56569,18.652,0.033
OGLE-LMC-RRLYR-03686,5635.57000,18.465,0.028
OGLE-LMC-RRLYR-03686,5638.57460,18.710,0.047
OGLE-LMC-RRLYR-03686,5639.58486,18.497,0.038
OGLE-LMC-RRLYR-03686,5640.52385,18.591,0.040
OGLE-LMC-RRLYR-03686,5641.55150,18.445,0.026
OGLE-LMC-RRLYR-03686,5642.49975,18.596,0.023
OGLE-LMC-RRLYR-03686,5643.49752,18.406,0.025
OGLE-LMC-RRLYR-03686,5644.50027,18.695,0.028
OGLE-LMC-RRLYR-03686,5645.49900,18.434,0.030
OGLE-LMC-RRLYR-03686,5646.51199,18.637,0.030
OGLE-LMC-RRLYR-03686,5647.51395,18.454,0.023
OGLE-LMC-RRLYR-03686,5648.51384,18.642,0.030
OGLE-LMC-RRLYR-03686,5649.52937,18.569,0.029
OGLE-LMC-RRLYR-03686,5650.50980,18.684,0.025
OGLE-LMC-RRLYR-03686,5651.51573,18.520,0.020
OGLE-LMC-RRLYR-03686,5652.51067,18.619,0.025
OGLE-LMC-RRLYR-03686,5653.54076,18.536,0.024
OGLE-LMC-RRLYR-03686,5654.54929,18.434,0.025
OGLE-LMC-RRLYR-03686,5655.54044,18.579,0.026
OGLE-LMC-RRLYR-03686,5656.54935,18.418,0.021
OGLE-LMC-RRLYR-03686,5657.50929,18.597,0.028
OGLE-LMC-RRLYR-03686,5659.50858,18.569,0.026
OGLE-LMC-RRLYR-03686,5660.55397,18.469,0.024
OGLE-LMC-RRLYR-03686,5664.48817,18.504,0.040
OGLE-LMC-RRLYR-03686,5666.50020,18.551,0.036
OGLE-LMC-RRLYR-03686,5667.48238,18.606,0.034
OGLE-LMC-RRLYR-03686,5668.48792,18.416,0.030
OGLE-LMC-RRLYR-03686,5669.48193,18.569,0.030
OGLE-LMC-RRLYR-03686,5670.53340,18.478,0.033
OGLE-LMC-RRLYR-03686,5672.47824,18.396,0.027
OGLE-LMC-RRLYR-03686,5674.48675,18.436,0.027
OGLE-LMC-RRLYR-03686,5675.47962,18.692,0.038
OGLE-LMC-RRLYR-03686,5676.53451,18.557,0.014
OGLE-LMC-RRLYR-03686,5677.47634,18.695,0.028
OGLE-LMC-RRLYR-03686,5678.51054,18.488,0.025
OGLE-LMC-RRLYR-03686,5679.47820,18.637,0.031
OGLE-LMC-RRLYR-03686,5680.52626,18.610,0.033
OGLE-LMC-RRLYR-03686,5681.48929,18.566,0.030
OGLE-LMC-RRLYR-03686,5682.49038,18.547,0.035
OGLE-LMC-RRLYR-03686,5683.49496,18.544,0.033
OGLE-LMC-RRLYR-03686,5684.49897,18.595,0.031
OGLE-LMC-RRLYR-03686,5685.47151,18.596,0.036
OGLE-LMC-RRLYR-03686,5686.47240,18.589,0.025
OGLE-LMC-RRLYR-03686,5687.47315,18.561,0.034
OGLE-LMC-RRLYR-03686,5691.46609,18.386,0.032
OGLE-LMC-RRLYR-03686,5692.51454,18.710,0.054
OGLE-LMC-RRLYR-03686,5694.48270,18.715,0.042
OGLE-LMC-RRLYR-03686,5695.46712,18.432,0.029
OGLE-LMC-RRLYR-03686,5696.47554,18.656,0.047
OGLE-LMC-RRLYR-03686,5697.46544,18.428,0.031
OGLE-LMC-RRLYR-03686,5699.47498,18.438,0.044
OGLE-LMC-RRLYR-03686,5700.46657,18.688,0.047
OGLE-LMC-RRLYR-03686,5702.46345,18.658,0.039
OGLE-LMC-RRLYR-03686,5706.46316,18.647,0.040
OGLE-LMC-RRLYR-03686,5784.92370,18.405,0.024
OGLE-LMC-RRLYR-03686,5795.92971,18.612,0.031
OGLE-LMC-RRLYR-03686,5803.87503,18.704,0.028
OGLE-LMC-RRLYR-03686,5805.83952,18.647,0.028
OGLE-LMC-RRLYR-03686,5806.89051,18.598,0.025
OGLE-LMC-RRLYR-03686,5809.85177,18.520,0.017
OGLE-LMC-RRLYR-03686,5810.85488,18.609,0.029
OGLE-LMC-RRLYR-03686,5812.84768,18.595,0.023
OGLE-LMC-RRLYR-03686,5814.86450,18.618,0.030
OGLE-LMC-RRLYR-03686,5815.87614,18.480,0.024
OGLE-LMC-RRLYR-03686,5816.85027,18.730,0.043
OGLE-LMC-RRLYR-03686,5817.85088,18.379,0.021
OGLE-LMC-RRLYR-03686,5818.87997,18.733,0.033
OGLE-LMC-RRLYR-03686,5819.83395,18.386,0.021
OGLE-LMC-RRLYR-03686,5820.90139,18.612,0.024
OGLE-LMC-RRLYR-03686,5822.82161,18.684,0.027
OGLE-LMC-RRLYR-03686,5823.89647,18.605,0.027
OGLE-LMC-RRLYR-03686,5824.81845,18.692,0.027
OGLE-LMC-RRLYR-03686,5825.80671,18.386,0.018
OGLE-LMC-RRLYR-03686,5826.85519,18.711,0.025
OGLE-LMC-RRLYR-03686,5827.84916,18.474,0.019
OGLE-LMC-RRLYR-03686,5828.87537,18.527,0.018
OGLE-LMC-RRLYR-03686,5829.84877,18.539,0.017
OGLE-LMC-RRLYR-03686,5830.84034,18.644,0.021
OGLE-LMC-RRLYR-03686,5831.83201,18.543,0.017
OGLE-LMC-RRLYR-03686,5832.82143,18.634,0.019
OGLE-LMC-RRLYR-03686,5833.80579,18.509,0.023
OGLE-LMC-RRLYR-03686,5834.80672,18.695,0.020
OGLE-LMC-RRLYR-03686,5835.86663,18.641,0.024
OGLE-LMC-RRLYR-03686,5836.77315,18.644,0.021
OGLE-LMC-RRLYR-03686,5837.85248,18.636,0.024
OGLE-LMC-RRLYR-03686,5839.83412,18.600,0.023
OGLE-LMC-RRLYR-03686,5840.81709,18.443,0.019
OGLE-LMC-RRLYR-03686,5841.81411,18.622,0.027
OGLE-LMC-RRLYR-03686,5842.83227,18.422,0.028
OGLE-LMC-RRLYR-03686,5843.84776,18.714,0.027
OGLE-LMC-RRLYR-03686,5845.86277,18.751,0.046
OGLE-LMC-RRLYR-03686,5846.82324,18.457,0.041
OGLE-LMC-RRLYR-03686,5850.78710,18.472,0.021
OGLE-LMC-RRLYR-03686,5851.79616,18.646,0.027
OGLE-LMC-RRLYR-03686,5852.77989,18.409,0.029
OGLE-LMC-RRLYR-03686,5853.84963,18.558,0.032
OGLE-LMC-RRLYR-03686,5854.75494,18.448,0.020
OGLE-LMC-RRLYR-03686,5855.82465,18.636,0.020
OGLE-LMC-RRLYR-03686,5856.79623,18.482,0.030
OGLE-LMC-RRLYR-03686,5857.78056,18.732,0.036
OGLE-LMC-RRLYR-03686,5858.83042,18.505,0.032
OGLE-LMC-RRLYR-03686,5859.79898,18.616,0.023
OGLE-LMC-RRLYR-03686,5860.78404,18.507,0.023
OGLE-LMC-RRLYR-03686,5861.79303,18.563,0.026
OGLE-LMC-RRLYR-03686,5863.79496,18.541,0.019
OGLE-LMC-RRLYR-03686,5864.70352,18.433,0.017
OGLE-LMC-RRLYR-03686,5865.77310,18.647,0.027
OGLE-LMC-RRLYR-03686,5866.79723,18.616,0.021
OGLE-LMC-RRLYR-03686,5867.73612,18.680,0.024
OGLE-LMC-RRLYR-03686,5868.83759,18.658,0.020
OGLE-LMC-RRLYR-03686,5869.80310,18.437,0.018
OGLE-LMC-RRLYR-03686,5870.74291,18.558,0.023
OGLE-LMC-RRLYR-03686,5871.72900,18.640,0.023
OGLE-LMC-RRLYR-03686,5872.73836,18.592,0.021
OGLE-LMC-RRLYR-03686,5873.73358,18.537,0.025
OGLE-LMC-RRLYR-03686,5874.76714,18.652,0.031
OGLE-LMC-RRLYR-03686,5875.70307,18.591,0.030
OGLE-LMC-RRLYR-03686,5878.75284,18.621,0.046
OGLE-LMC-RRLYR-03686,5879.68810,18.574,0.037
OGLE-LMC-RRLYR-03686,5880.73955,18.715,0.029
OGLE-LMC-RRLYR-03686,5880.79057,18.682,0.038
OGLE-LMC-RRLYR-03686,5881.72615,18.428,0.021
OGLE-LMC-RRLYR-03686,5882.75693,18.666,0.025
OGLE-LMC-RRLYR-03686,5883.76090,18.412,0.027
OGLE-LMC-RRLYR-03686,5885.69217,18.439,0.031
OGLE-LMC-RRLYR-03686,5886.72823,18.662,0.037
OGLE-LMC-RRLYR-03686,5887.80060,18.571,0.020
OGLE-LMC-RRLYR-03686,5888.78925,18.527,0.025
OGLE-LMC-RRLYR-03686,5889.83144,18.678,0.029
OGLE-LMC-RRLYR-03686,5890.76500,18.564,0.023
OGLE-LMC-RRLYR-03686,5891.72365,18.495,0.024
OGLE-LMC-RRLYR-03686,5892.74142,18.576,0.025
OGLE-LMC-RRLYR-03686,5893.75952,18.566,0.020
OGLE-LMC-RRLYR-03686,5894.78295,18.412,0.019
OGLE-LMC-RRLYR-03686,5895.80007,18.639,0.026
OGLE-LMC-RRLYR-03686,5896.78311,18.434,0.020
OGLE-LMC-RRLYR-03686,5897.72993,18.560,0.021
OGLE-LMC-RRLYR-03686,5898.71211,18.598,0.024
OGLE-LMC-RRLYR-03686,5899.77129,18.700,0.026
OGLE-LMC-RRLYR-03686,5900.72091,18.496,0.021
OGLE-LMC-RRLYR-03686,5901.77022,18.653,0.029
OGLE-LMC-RRLYR-03686,5902.72147,18.398,0.028
OGLE-LMC-RRLYR-03686,5903.77666,18.672,0.031
OGLE-LMC-RRLYR-03686,5904.75124,18.443,0.021
OGLE-LMC-RRLYR-03686,5905.72530,18.668,0.030
OGLE-LMC-RRLYR-03686,5906.73718,18.505,0.029
OGLE-LMC-RRLYR-03686,5907.71528,18.668,0.029
OGLE-LMC-RRLYR-03686,5908.74053,18.548,0.027
OGLE-LMC-RRLYR-03686,5909.78507,18.612,0.029
OGLE-LMC-RRLYR-03686,5910.69785,18.448,0.021
OGLE-LMC-RRLYR-03686,5911.72970,18.670,0.023
OGLE-LMC-RRLYR-03686,5912.75018,18.509,0.020
OGLE-LMC-RRLYR-03686,5913.72212,18.667,0.020
OGLE-LMC-RRLYR-03686,5914.74474,18.510,0.018
OGLE-LMC-RRLYR-03686,5915.70179,18.664,0.019
OGLE-LMC-RRLYR-03686,5916.75564,18.583,0.018
OGLE-LMC-RRLYR-03686,5917.71928,18.632,0.021
OGLE-LMC-RRLYR-03686,5922.73631,18.566,0.018
OGLE-LMC-RRLYR-03686,5923.71255,18.548,0.017
OGLE-LMC-RRLYR-03686,5924.69386,18.593,0.021
OGLE-LMC-RRLYR-03686,5925.70790,18.482,0.025
OGLE-LMC-RRLYR-03686,5926.71969,18.614,0.023
OGLE-LMC-RRLYR-03686,5927.71869,18.461,0.023
OGLE-LMC-RRLYR-03686,5929.69283,18.427,0.021
OGLE-LMC-RRLYR-03686,5930.83802,18.364,0.020
OGLE-LMC-RRLYR-03686,5931.65842,18.537,0.026
OGLE-LMC-RRLYR-03686,5932.65660,18.564,0.025
OGLE-LMC-RRLYR-03686,5933.70702,18.431,0.027
OGLE-LMC-RRLYR-03686,5934.70305,18.699,0.026
OGLE-LMC-RRLYR-03686,5936.64817,18.523,0.036
OGLE-LMC-RRLYR-03686,5937.67792,18.426,0.021
OGLE-LMC-RRLYR-03686,5938.67869,18.692,0.027
OGLE-LMC-RRLYR-03686,5939.72245,18.549,0.026
OGLE-LMC-RRLYR-03686,5940.75840,18.496,0.027
OGLE-LMC-RRLYR-03686,5941.75833,18.612,0.030
OGLE-LMC-RRLYR-03686,5942.78268,18.425,0.020
OGLE-LMC-RRLYR-03686,5943.74018,18.578,0.025
OGLE-LMC-RRLYR-03686,5944.73342,18.475,0.017
OGLE-LMC-RRLYR-03686,5945.71372,18.559,0.020
